title,summary,link,cluster
آمار عجیب مسافران تهرانی دارای علائم کرونا که از خروج آنها جلوگیری شد ,معاون استاندار تهران گفت از روز اسفند تاکنون بیش از یک میلیون مسافر مورد تب سنجی قرار گرفته‌اند که حدود نفر دارای علائم اولیه کرونا بودند و خروج آنها جلوگیری شد ,https://www.hamshahrionline.ir/news/494915/آمار-عجیب-مسافران-تهرانی-دارای-علائم-کرونا-که-از-خروج-آنها-جلوگیری,5
شیوه مجرمانه و غیراخلاقی برخی مسافران نوروزی برای ورود به شهرها ,برخی از مسافران نوروزی برای ورود به شهرهای مورد نظر خود در تعطیلات رفتار مجرمانه‌ای در پیش گرفته‌اند ,https://www.hamshahrionline.ir/news/494819/شیوه-مجرمانه-و-غیراخلاقی-برخی-مسافران-نوروزی-برای-ورود-به-شهرها,5
فیلم وضعیت ورودی‌ شهرهای شیراز و رشت در ایام نوروز ,وضعیت ورودی‌های شهرهای شیراز، رشت، اردبیل، بجنورد و سمنان در ایام نوروز را در این گزارش ببینید به علت شیوع ویروس کرونا از حجم سفرهای نوروزی کاسته شده اما هنوز عده‌ای بی‌توجه به توصیه خانه‌نشینی مسافرت می‌روند ,https://www.hamshahrionline.ir/news/494697/فیلم-وضعیت-ورودی-شهرهای-شیراز-و-رشت-در-ایام-نوروز,5
فیلم نام این مسافران را چه باید گذاشت ,سخت است در هلال احمر باشی، جانت را کف دستت بگذاری برای حفظ سلامت مردم و بعد شاهد چنین تصاویری باشی ,https://www.hamshahrionline.ir/news/494472/فیلم-نام-این-مسافران-را-چه-باید-گذاشت,5
خروج میلیون نفر از استان کشور در روز چه تعداد علائم کرونا داشتند ,سرپرست جمعیت هلال احمر کشور گفت از اسفند تا آخر وقت روز یکم فروردین هزار خودرو از استان کشور خارج شده‌اند ,https://www.hamshahrionline.ir/news/494490/خروج-۳-میلیون-نفر-از-۱۳-استان-کشور-در-۴-روز-چه-تعداد-علائم,5
فیلم اینجا جاده تهران مشهد؛ آمده‌ایم به امید خدا کرونا با اینها کاری نخواهد کرد ,اینجا محور ترانزیتی و بین‌المللی تهران مشهد است؛ عده‌ای از هم‌وطنانمان که هنوز خطر شیوع ویروس کرونا را جدی نگرفته‌اند، با توکل بر خدا از جای‌جای ایران دل به جاده زده‌اند و فکر می‌کنند کرونا با آنها کاری نخواهد داشت ,https://www.hamshahrionline.ir/news/494492/فیلم-اینجا-جاده-تهران-مشهد-آمده-ایم-به-امید-خدا-کرونا,5
ورود هزار خودرو به مشهد باید در انتظار فاجعه انسانی بنشینیم ,رییس شورای اسلامی شهر مشهد با اشاره به ورود هزار خودرو به مشهد در روز گذشته گفت باید با ابزارهای کنترلی مانع از انجام این سفرها از مبدا شد و الا بایستی در انتظار فاجعه انسانی مبتلایان به ویروس کرونا در مشهد نشست ,https://www.hamshahrionline.ir/news/494207/ورود-۵۹-هزار-خودرو-به-مشهد-باید-در-انتظار-فاجعه-انسانی-بنشینیم,14
سفرها و بازدیدها در عید کرونایی این آگهی ترحیم از آینده خبر می‌دهد ,قبل از اینکه در این شرایط گسترش بیماری کرونا برای دید و بازدید یا سفر تقشه بکشید این آگهی ترحیم را بخوانید به زودی شاهد آن خواهیم بود ,https://www.hamshahrionline.ir/news/494081/سفرها-و-بازدیدها-در-عید-کرونایی-این-آگهی-ترحیم-از-آینده-خبر,5
مقایسه تردد در جاده‌ها طی ساعت اخیر با مدت مشابه در سال گذشته ,رئیس پلیس راهنمایی و رانندگی ناجا از کاهش ۴۰درصدی ترددهای نوروزی نسبت به مدت مشابه سال قبل خبر داد ,https://www.hamshahrionline.ir/news/494065/مقایسه-تردد-در-جاده-ها-طی-۲۴-ساعت-اخیر-با-مدت-مشابه-در-سال-گذشته,5
پیشنهاد یک نماینده؛ به خودروهای غیر بومی بنزین ندهید ,رییس کمیسیون اجتماعی مجلس با انتقاد ازاین که متاسفانه وضعیت ترافیکی اخیر در خروجی شهر تهران نشان از این دارد که مردم به توصیه‌ها توجه نمی‌کنند؛ اظهار کرد برای جلوگیری از سفرهای نوروزی به خودروهایی که بومی نیستند در شهرستان‌ها بنزین ندهند ,https://www.hamshahrionline.ir/news/494035/پیشنهاد-یک-نماینده-به-خودروهای-غیر-بومی-بنزین-ندهید,5
سفر نروید؛ هفته اول فروردین اوج اپیدمی کرونا در ایران است ,پیش‌بینی این است که تا آخر هفته اول فروردین این اتفاق بیفتد اما اگر رعایت نشود و با شیوه فعلی مسیر را ادامه بدهیم و کنترل و خودکنترلی و ایزوله کردن‌ها بهبود پیدا نکند امکان دارد این بیماری حتی تا آخر اردیبهشت و بیشتر از آن هم ادامه پیدا کند ,https://www.hamshahrionline.ir/news/493878/سفر-نروید-هفته-اول-فروردین-اوج-اپیدمی-کرونا-در-ایران-است,5
عکس وضعیت عجیب عوارضی تهران قم مردم کرونا را جدی نگرفته‌اند ,ترافیک سنگینی از صبح امروز اسفندماه در عوارضی تهران به سمت قم وجود داشته که تا این لحظه نه تنها از تعداد ماشین‌ها کم نشده بلکه به طرز چشمگیری نیز افزایش یافته است این تصاویر عجیب نشان می‌دهد که هنوز مردم ایران ویروس کشنده کرونا را جدی نگرفتند و راه سفر در پیش دارند ,https://www.hamshahrionline.ir/news/493894/عکس-وضعیت-عجیب-عوارضی-تهران-قم-مردم-کرونا-را-جدی-نگرفته-اند,5
فیلم ترافیک در جاده‌های هراز و فیروزکوه مردمی که توجهی به هشدارهای کرونایی ندارند ,ترافیک جاده‌های هراز و فیروزکوه را ببینید مردم برخلاف توصیه‌ها و هشدارهای وزارت بهداشت و مسئولان خانه‌ها خود را رها کردند بدون آنکه نگران افزایش شیوع کرونا در کشور شوند ,https://www.hamshahrionline.ir/news/493784/فیلم-ترافیک-در-جاده-های-هراز-و-فیروزکوه-مردمی-که-توجهی-به,5
پاسخ توییتری وزیر ارتباطات به خبرنگار درباره برنامه فضایی سپاه ,محمدجواد آذری جهرمی در صفحه شخصی خود در توییتر به پرسش نماینده یک رسانه آمریکایی درباره برنامه فضایی ایران و ماهواره نور سپاه پاسخ داد ,https://www.hamshahrionline.ir/news/504089/پاسخ-توییتری-وزیر-ارتباطات-به-خبرنگار-AP-درباره-برنامه-فضایی,13
معلوم نیست وام یک میلیونی به حساب چه کسانی رفته است ,نماینده مشهد در مجلس شورای اسلامی در واکنش به انتشار اخباری درباره واریز یک میلیون تومان کمک معیشتی گفت معلوم نیست این پول به حساب چه کسانی رفته است لازم است در این باره روشنگری شود ,https://www.hamshahrionline.ir/news/504032/معلوم-نیست-وام-یک-میلیونی-به-حساب-چه-کسانی-رفته-است,5
فساد ساختاری تراژدی هولناکی که شرکت‌های داروسازی رانتی برای کشور به وجود آوره‌اند ,متخصص و استاد دانشگاه در حوزه‌های مختلف طی نامه‌ای به وزیر بهداشت گوشه‌ای از واقعیت‌های تلخ و خطرآفرین شرکت‌های رانتی داروسازی در ایران را گزارش کرده‌اند که نه تنها به درمان مردم لطمه جدی وارد می‌کند بلکه باعث نابودی شرکت‌های واقعی و هزینه‌های جدی برای مردم و کشور شده‌اند ,https://www.hamshahrionline.ir/news/503988/فساد-ساختاری-تراژدی-هولناکی-که-شرکت-های-داروسازی-رانتی-برای,5
فیلم تصاویر جدید و جزئیات بیشتر از پرتاب ماهواره نور ,ماهواره نور، از ماهواره‌بر سه مرحله‌ای قاصد به فضا پرتاب شد ,https://www.hamshahrionline.ir/news/504053/فیلم-تصاویر-جدید-و-جزئیات-بیشتر-از-پرتاب-ماهواره-نور,13
روحانی فردی بعد گزارش اشتباهش عذرخواهی کرده اما عده‌ای دنبال آن اشتباه افتاده‌اند ,رئیس دولت دوازدهم گفت یک بنده خدایی گزارش اشتباهی داده است که خود مؤلف فهمیده اشتباه کرده و آمده عذرخواهی کرده است اما باز شما دنبال آن اشتباه افتاده‌اید ,https://www.hamshahrionline.ir/news/504023/روحانی-فردی-بعد-گزارش-اشتباهش-عذرخواهی-کرده-اما-عده-ای-دنبال,5
گسترش قلمرو سپاه به فضا سرلشکر سلامی امروز می‌توانیم جهان را از فضا رؤیت کنیم ,فرمانده کل سپاه با بیان اینکه با پرتاب ماهواره نور سپاه امروز فضایی شد، گفت تحقق این مهم بیانگر این است که ما در هر عرصه‌ای ورود کنیم با تکیه بر خداوند متعال و استعدادهای درونی خود می‌توانیم موفقیت‌های چشمگیر و جهان‌پسندی داشته باشیم ,https://www.hamshahrionline.ir/news/504009/گسترش-قلمرو-سپاه-به-فضا-سرلشکر-سلامی-امروز-می-توانیم-جهان,13
عکس دست‌نوشته فرمانده کل سپاه پس از پرتاب ماهواره‌بر قاصد ,پس از پرتاب موفقیت آمیز ماهواره‌بر قاصد، دست‌نوشته‌ای از سرلشکر سلامی فرمانده کل سپاه پاسداران انقلاب اسلامی منتشر شد ,https://www.hamshahrionline.ir/news/504013/عکس-دست-نوشته-فرمانده-کل-سپاه-پس-از-پرتاب-ماهواره-بر-قاصد,5
روایت روحانی از تماس‌هایی که ساعت شب با وزارتخانه‌ها می‌گیرد گفته‌ام بهره‌های بین بانکی را کاهش دهند ,رئیس جمهور گفت اگر بتوانیم مشکلی را حل کنیم و خدا اراده‌ای کرده باشد که به دست ما مشکلی حل شود این رحمت خداست که برای ما قرار داده شده است ,https://www.hamshahrionline.ir/news/504014/روایت-روحانی-از-تماس-هایی-که-ساعت-۱۲-شب-با-وزارتخانه-ها-می-گیرد,5
نخستین فیلم از پرتاب موفق اولین ماهواره نظامی ایران ,نخستین ماهواره جمهوری اسلامی ایران توسط سپاه پاسداران انقلاب اسلامی با موفقیت در مدار زمین قرار گرفت ,https://www.hamshahrionline.ir/news/504005/نخستین-فیلم-از-پرتاب-موفق-اولین-ماهواره-نظامی-ایران,13
درگیری لفظی شدید بن سلمان و پوتین بر سر نفت ,سایت میدل ایست آی اعلام کرد قبل از نشست اخیر اوپک و شکست اعضا در رسیدن به توافقی درباره کاهش تولید نفت، درگیری لفظی میان محمد بن سلمان و ولادیمیر پوتین رخ داد ,https://www.hamshahrionline.ir/news/503983/درگیری-لفظی-شدید-بن-سلمان-و-پوتین-بر-سر-نفت,15
جزئیات نخستین واریزی تسهیلات کرونایی در آخر هفته تسهیلات بلاعوض به چه کسانی اختصاص می‌یابد ,سخنگوی تسهیلات حمایتی کرونا گفت تسهیلات گروه اول مشمولان که تا فروردین پیامک ارسال کرده‌اند پنج شنبه و بعد از پالایش داده‌ها و پیامک‌های ارسالی واریز خواهد شد ,https://www.hamshahrionline.ir/news/503973/جزئیات-نخستین-واریزی-تسهیلات-کرونایی-در-آخر-هفته-تسهیلات-بلاعوض,16
پزشکیان چطور نماینده بداند به چه جرمی ردصلاحیت شده خلاف شرع است اما اگر نداند شرعی است ,نایب رئیس مجلس گفت نمی‌دانم چرا وقتی یک نماینده بخواهد بداند به چه جرمی رد صلاحیت شده، خلاف شرع است، ولی اگر پاسخ این سوالات داده نشود، امری شرعی است ,https://www.hamshahrionline.ir/news/503977/پزشکیان-چطور-نماینده-بداند-به-چه-جرمی-ردصلاحیت-شده-خلاف-شرع,5
برخی کاسب کرونا شده‌اند واکنش به شوک نفتی اخیر عبادات رمضان امسال به صورت فردی انجام می‌شود ,رئیس جمهور شیوع ویروس کرونا را آزمونی برای کارآمدی همه کشورها و نظام‌های جهان دانست و با قدردانی از همراهی مردم و خدمات خالصانه کادر درمانی تاکید کرد در روزهای سخت پیک بیماری کرونا، همه بخش‌ها پای کار بودند اما اقلیت کوچکی که خط را از بیرون می‌گیرند، روزی کاسب تحریم بودند و امروز کاسب کرونا شده‌اند ,https://www.hamshahrionline.ir/news/503933/برخی-کاسب-کرونا-شده-اند-واکنش-به-شوک-نفتی-اخیر-عبادات-رمضان,5
تصاویر جزئیات جدید از موفقیت ماهواره‌ای سپاه کدام آیه‌ روی نخستین ماهواره نظامی سپاه نوشته شد ,ماهواره‌بر قاصد که صبح امروز سوم اردیبهشت ماهواره نور را به فضا پرتاب کرد سه مرحله‌ای و به صورت ترکیبی سوخت جامد و مایع است ,https://www.hamshahrionline.ir/news/503928/تصاویر-جزئیات-جدید-از-موفقیت-ماهواره-ای-سپاه-کدام-آیه-روی,13
فهرست متقاضیان وام یک میلیون تومانی تحویل بانک مرکزی شد وام چه زمانی واریز می‌شود ,سخنگوی سازمان برنامه و بودجه از تنظیم فهرست متقاضیان تسهیلات قرض‌الحسنه مطابق با درخواست بانک‌ها و تحویل آن به بانک مرکزی خبر داد ,https://www.hamshahrionline.ir/news/503915/فهرست-متقاضیان-وام-یک-میلیون-تومانی-تحویل-بانک-مرکزی-شد-وام,2
موافقت مجلس با کلیات طرح اصلاح قوانین انتخابات متن کامل طرح ,نمایندگان مجلس شورای اسلامی در مصوبه‌ای با کلیات طرح قوانین انتخابات موافقت کردند ,https://www.hamshahrionline.ir/news/503900/موافقت-مجلس-با-کلیات-طرح-اصلاح-قوانین-انتخابات-متن-کامل-طرح,5
پرتاب موفق نخستین ماهواره نظامی جمهوری اسلامی ایران توسط سپاه ,نخستین ماهواره جمهوری اسلامی ایران توسط سپاه پاسداران انقلاب اسلامی با موفقیت در مدار زمین قرار گرفت ,https://www.hamshahrionline.ir/news/503877/پرتاب-موفق-نخستین-ماهواره-نظامی-جمهوری-اسلامی-ایران-توسط-سپاه,13
دو کاندیدای احتمالی اصلاح‌طلبان بعد از پایان کرونا برای انتخابات ریاست جمهوری آماده می‌شویم ,یک فعال سیاسی اصلاح طلب گفت بعد اتمام دوران کرونا با توجه به نزدیکی به دوران انتخابات ریاست جمهوری، در جبهه اصلاح‌طلبان برای این انتخابات آماده می‌شویم ,https://www.hamshahrionline.ir/news/503842/دو-کاندیدای-احتمالی-اصلاح-طلبان-بعد-از-پایان-کرونا-برای-انتخابات,5
تشکر فرمانده معظم کل قوا از عملکرد سپاه پاسداران انقلاب اسلامی ,رئیس دفتر نظامی فرمانده معزز کل قوا از تشکر معظم‌له از عملکرد و تلاش‌های خوب سپاه خبر داد ,https://www.hamshahrionline.ir/news/503839/تشکر-فرمانده-معظم-کل-قوا-از-عملکرد-سپاه-پاسداران-انقلاب-اسلامی,5
روایت کرملین از تماس تلفنی پوتین و روحانی ,کاخ کرملین در بیانیه‌ای اعلام کرد روسای جمهور ایران و روسیه بر عزم خود جهت ادامه همکاری‌ها برای یافتن راه حلی ماندگار در سوریه تأکید کرده‌اند ,https://www.hamshahrionline.ir/news/503829/روایت-کرملین-از-تماس-تلفنی-پوتین-و-روحانی,5
توضیحات دادستان کردستان درباره اجرای حکم قصاص جوان سقزی ,دادستان عمومی و انقلاب استان کردستان ادعاهای رسانه‌های بیگانه را درباره اجرای حکم قصاص جوان سقزی تکذیب کرد و در این زمینه توضیح داد ,https://www.hamshahrionline.ir/news/503819/توضیحات-دادستان-کردستان-درباره-اجرای-حکم-قصاص-جوان-سقزی,5
تأیید تخلف در پرونده ارزهای دولتی ماجرا چیست؛ بالاخره دلاری گم شده یا نه ,دبیر ستاد مفاسد اقتصادی نهاد ریاست‌جمهوری با اعلام نتایج تحقیقاتشان می‌گوید دلاری گم نشده، اما تخلف صورت گرفته است و با توجه به سامانه‌های الکترونیک، کاملا مشخص است که چه کسی و چقدر ارز دریافت کرده است ,https://www.hamshahrionline.ir/news/503783/تأیید-تخلف-در-پرونده-ارزهای-دولتی-ماجرا-چیست-بالاخره-دلاری,2
تعجب صادقی از خبررسانی خبرگزاری اصولگرا درباره محکومیتش حکمم در دادگاه تجدید نظر است ,صادقی در گفت‌وگویی در واکنش به انتشار خبر محکومیتش در خبرگزاری فارس مبنی بر صدور حکمش شامل حبس و جزای نقدی گفت تعجب می‌کنم چطور این خبر به یک رسانه درز کرده است و آنها به این خبر دسترسی پیدا کردند ,https://www.hamshahrionline.ir/news/503790/تعجب-صادقی-از-خبررسانی-خبرگزاری-اصولگرا-درباره-محکومیتش-حکمم,5
سپهبد قرنی از کودتا تا ترور تصاویر تاریخی مراسم ترحیم قرنی؛ از حضور خلخالی تا بازرگان و فروهر ,دو تیر شلیک کردند و سوار موتور شدند و به سرعت از محل رفتند دو گلوله به سینه و پای قرنی اصابت کرده بود پیکر وی با وانتی به بخش جراحی بیمارستان مهر منتقل شد اما سرلشکر قرنی چند لحظه بعد از انتقال به بخش جراحی درگذشت ,https://www.hamshahrionline.ir/news/503786/سپهبد-قرنی-از-کودتا-تا-ترور-تصاویر-تاریخی-مراسم-ترحیم-قرنی,5
واکنش آیت‌الله جزایری به اظهارات منتسب به او درباره امام زمان عج ,زعیم حوزه‌های علمیه اهواز نسبت به دروغ مطرح شده به نقل از وی در خصوص امام زمان عج واکنش نشان داد ,https://www.hamshahrionline.ir/news/503803/واکنش-آیت-الله-جزایری-به-اظهارات-منتسب-به-او-درباره-امام-زمان,5
بازخوانی پیام امام خمینی به سپاه پاسداران  وارد سیاست نشوید ,تولد تا تاسیس سپاه پاسداران انقلاب اسلامی کمتر از دو ماه زمان برد و جمهوری اسلامی صاحب منحصربه فردترین نیروی نظامی جهان شد نهادی نظامی که به دلیل ویژگی‌های منحصر به فردش در جانفشانی، بی‌توجهی به دنیا و حفاظت از دستاوردهای انقلاب اسلامی محبوب بنیانگذار فقید انقلاب اسلامی شد ,https://www.hamshahrionline.ir/news/503801/بازخوانی-پیام-امام-خمینی-به-سپاه-پاسداران-وارد-سیاست-نشوید,5
چه کسی پیگیر پرونده محمود صادقی و محکومیتش بود ارتباطی به ماجرای۶۳ حساب قوه قضائیه دارد ,محمود صادقی، نماینده مردم تهران در مجلس شورای اسلامی به ماه حبس و میلیون جزای نقدی محکوم شده است ‌ او می‌گوید شاکی اغلب پرونده‌ها دادستان سابق تهران بوده و شخص آملی‌لاریجانی شکایتی نکرده است ‌ ,https://www.hamshahrionline.ir/news/503774/چه-کسی-پیگیر-پرونده-محمود-صادقی-و-محکومیتش-بود-ارتباطی-به,5
جنجال‌های سیاسی جهانپور آقای سخنگو چطور از ‌آمار کرونا به چین، انتخابات و محصوران رسید ,اگرچه ایرانیان در یکی، دو سال گذشته بارها با پدیده شهرت ناگهانی افراد زیادی روبه‌رو شده‌اند اما به‌ نظر می‌آید کمتر کسی گمان می‌کرد روزی سخنگوی وزارت بهداشت ایران تا این اندازه به چهره‌ای شناخته‌شده تبدیل شود ,https://www.hamshahrionline.ir/news/503772/جنجال-های-سیاسی-جهانپور-آقای-سخنگو-چطور-از-آمار-کرونا-به-چین,5
انتقاد وزیر احمدی‌نژاد از دولت روحانی ؛ کرونا را اول جدی نگرفتند شاهد وقفه‌های چهارگانه هستیم ,وزیر اقتصاد دولت‌ احمدی‌نژاد از نحوه مدیریت کرونا توسط دولت حسن روحانی انتقاد کرد ,https://www.hamshahrionline.ir/news/503800/انتقاد-وزیر-احمدی-نژاد-از-دولت-روحانی-کرونا-را-اول-جدی-نگرفتند,5
مدارس و دانشگاه‌ها تا پایان سال تحصیلی تعطیل باشند ,نایب‌رییس کمیسیون بهداشت و درمان مجلس از تاکید کمیسیون‌های بهداشت و آموزش بر تعطیلی مدارس و دانشگاه‌ها خبر داد ,https://www.hamshahrionline.ir/news/503798/مدارس-و-دانشگاه-ها-تا-پایان-سال-تحصیلی-تعطیل-باشند,5
هوای پایتخت امروز مطلوب است ,هوای پایتخت امروز اردیبهشت ماه قابل قبول است و پیش‌بینی می‌شود در این شرایط باقی بماند ,https://www.hamshahrionline.ir/news/503954/هوای-پایتخت-امروز-مطلوب-است,17
کرونا فراموش شد ادامه فعالیت بازار فروش جانوران زنده و وحشی در آسیا ,بازار فروش و مصرف گوشت حیوان‌های زنده و وحشی که با شیوع کرونا راکد شده بود، بار دیگر در چین و دیگر کشورهای شرق و جنوب شرقی آسیا رونق گرفته است ,https://www.hamshahrionline.ir/news/503944/کرونا-فراموش-شد-ادامه-فعالیت-بازار-فروش-جانوران-زنده-و-وحشی,2
ایجاد دریاچه جدید در کشور پس از بارندگی‌های اخیر ,معاون آب و آبفای وزیر نیرو گفت بارندگی‌های اسفند و به خصوص فروردین‌ماه حدود دریاچه جدید ایجاد کرده که تاکنون وجود نداشته است ,https://www.hamshahrionline.ir/news/503913/ایجاد-۵۰-دریاچه-جدید-در-کشور-پس-از-بارندگی-های-اخیر,7
پساب‌های تصفیه‌شده به دریاچه ارومیه سرایز می‌شود ,مدیرعامل شرکت آب و فاضلاب آذربایجان‌ غربی با اشاره به هدف‌گذاری میلیون مترمکعبی انتقال پساب تصفیه‌شده از تصفیه‌خانه‌های اقماری دریاچه ارومیه به بستر این دریاچه، گفت تاکنون میلیون مترمکعب از این هدف‌گذاری در استان محقق شده است ,https://www.hamshahrionline.ir/news/503859/پساب-های-تصفیه-شده-به-دریاچه-ارومیه-سرایز-می-شود,7
